var,i,h,n,index_extra,value,lb,ub
x,beans,H1,,,2.0,0.0,3.0
x,beans,H3,,,6.0,0.0,15.0
x,beans,H2,,,3.0,0.0,9.0
x,apples,H1,,,1.0,0.0,3.0
x,apples,H3,,,3.0,0.0,15.0
x,apples,H2,,,4.0,0.0,9.0
x,rice,H1,,,3.0,0.0,3.0
x,rice,H3,,,8.0,0.0,15.0
x,rice,H2,,,9.0,0.0,9.0
x,milk,H1,,,3.0,0.0,3.0
x,milk,H3,,,11.0,0.0,15.0
x,milk,H2,,,7.0,0.0,9.0
u,calc,H1,,,0.397,0.0,1.0
u,calc,H3,,,0.357,0.0,1.0
u,calc,H2,,,0.36960000000000004,0.0,1.0
u,prot,H1,,,1.0,0.0,1.0
u,prot,H3,,,0.9949999999999999,0.0,1.0
u,prot,H2,,,1.0,0.0,1.0
u,cal,H1,,,0.9447619047619047,0.0,1.0
u,cal,H3,,,0.6021052631578947,0.0,1.0
u,cal,H2,,,0.7605328320802016,0.0,1.0
y,beans,,,,0.0,0,
y,apples,,,,0.0,0,
y,rice,,,,0.0,0,
y,milk,,,,11.0,0,
y_active,beans,,,,0.0,0,1
y_active,apples,,,,0.0,0,1
y_active,rice,,,,0.0,0,1
y_active,milk,,,,1.0,0,1
dpos,beans,H1,,,0.666666668,0,
dpos,beans,H3,,,0.0,0,
dpos,beans,H2,,,0.0,0,
dpos,apples,H1,,,0.11111111200000001,0,
dpos,apples,H3,,,0.0,0,
dpos,apples,H2,,,1.333333336,0,
dpos,rice,H1,,,0.7777777800000001,0,
dpos,rice,H3,,,0.0,0,
dpos,rice,H2,,,2.3333333399999994,0,
dpos,milk,H1,,,0.666666669,0,
dpos,milk,H3,,,0.0,0,
dpos,milk,H2,,,0.0,0,
dneg,beans,H1,,,0.0,0,
dneg,beans,H3,,,0.6666666719999998,0,
dneg,beans,H2,,,0.9999999960000001,0,
dneg,apples,H1,,,0.0,0,
dneg,apples,H3,,,1.4444444479999996,0,
dneg,apples,H2,,,0.0,0,
dneg,rice,H1,,,0.0,0,
dneg,rice,H3,,,3.1111111199999986,0,
dneg,rice,H2,,,0.0,0,
dneg,milk,H1,,,0.0,0,
dneg,milk,H3,,,0.6666666759999984,0,
dneg,milk,H2,,,-6.999999691004177e-09,0,
epsilon,,,,,,0,
