var,i,h,n,index_extra,value,lb,ub
x,milk,H2,,,3.0,0.0,10.0
x,milk,H3,,,4.999999999999999,0.0,15.0
x,milk,H1,,,1.0,0.0,5.0
x,rice,H2,,,6.0,0.0,10.0
x,rice,H3,,,12.0,0.0,15.0
x,rice,H1,,,2.0000000000000004,0.0,5.0
x,beans,H2,,,6.0,0.0,10.0
x,beans,H3,,,10.0,0.0,15.0
x,beans,H1,,,2.0,0.0,5.0
x,apples,H2,,,3.0,0.0,10.0
x,apples,H3,,,5.0,0.0,15.0
x,apples,H1,,,1.0,0.0,5.0
u,cal,H2,,,0.15400000000000003,0.0,1.0
u,cal,H3,,,0.15400000000000003,0.0,1.0
u,cal,H1,,,0.15400000000000014,0.0,1.0
u,calc,H2,,,0.15400000000000014,0.0,1.0
u,calc,H3,,,0.194,0.0,1.0
u,calc,H1,,,0.15400000000000003,0.0,1.0
u,prot,H2,,,0.26799999999999996,0.0,1.0
u,prot,H3,,,0.15400000000000003,0.0,1.0
u,prot,H1,,,0.154,0.0,1.0
y,milk,,,,-0.0,0,
y,rice,,,,-0.0,0,
y,beans,,,,6.000000000000001,0,
y,apples,,,,1.0000000000000009,0,
y_active,milk,,,,-0.0,0,1
y_active,rice,,,,-0.0,0,1
y_active,beans,,,,1.0,0,1
y_active,apples,,,,1.0,0,1
dpos,milk,H2,,,0.0,0,
dpos,milk,H3,,,0.0,0,
dpos,milk,H1,,,-0.0,0,
dpos,rice,H2,,,0.0,0,
dpos,rice,H3,,,0.8888888888888883,0,
dpos,rice,H1,,,0.0,0,
dpos,beans,H2,,,0.0,0,
dpos,beans,H3,,,0.0,0,
dpos,beans,H1,,,0.0,0,
dpos,apples,H2,,,-0.0,0,
dpos,apples,H3,,,0.0,0,
dpos,apples,H1,,,-0.0,0,
dneg,milk,H2,,,0.33333333333333304,0,
dneg,milk,H3,,,0.5555555555555562,0,
dneg,milk,H1,,,0.11111111111111116,0,
dneg,rice,H2,,,0.6666666666666669,0,
dneg,rice,H3,,,0.0,0,
dneg,rice,H1,,,0.2222222222222224,0,
dneg,beans,H2,,,-0.0,0,
dneg,beans,H3,,,-0.0,0,
dneg,beans,H1,,,-0.0,0,
dneg,apples,H2,,,-0.0,0,
dneg,apples,H3,,,-0.0,0,
dneg,apples,H1,,,0.0,0,
epsilon,,,,,0.0,0,
